num,street,type,City,Zip,Page,lat,lng,Address
215.0,Blackbird,Lane,Lampe ,65681,1,36.58483133,-93.45741421,215 Blackbird Lane
2.0,Hillcrest,Drive,Kimberling City,65686,1,36.646482,-93.429645,2 Hillcrest Dr
4.0,Hillcrest,Drive,Kimberling City,65686,1,36.64653847,-93.42975864,4 Hillcrest Dr
88.0,Oak Grove,Lane,Galena,65656,1,36.72448936,-93.43601139,88 Oak Grove Ln
88.0,Oak Grove,Lane,Galena,65656,1,36.72448936,-93.43601139,88 Oak Grove Ln
850.0,Santana,Circle,Reeds Spring,65737,1,36.65086386,-93.46379894,850 Santana Cir.
51.0,Skyline,Drive,Kimberling City,65686,1,36.64007502,-93.43453119,51 Skyline Dr
51.0,Skyline,Drive,Kimberling City,65686,1,36.64007502,-93.43453119,51 Skyline Dr
118.0,Spinnaker,Lane,Kimberling City,65686,1,36.64184057,-93.41202559,118 Spinnaker Lane
75.0,The Lodges,Drive,Lampe ,65681,1,36.59351367,-93.42933736,75  The Lodges Tr
266.0,Green Acres,Road,Lampe ,65681,2,36.53629034,-93.50954257,266 Green Acres
266.0,Green Acres,Road,Lampe ,65681,2,36.53629034,-93.50954257,266 Green Acres
3760.0,MO 13,,Lampe ,65681,2,36.53306938,-93.42514146,3760 State Hwy 13
812.0,MO EE,,Blue Eye,65611,2,36.50105771,-93.38402619,812 State Hwy EE
2456.0,Nauvoo,Road,Lampe ,65681,2,36.53745597,-93.51132971,2456 Nauvoo Rd
869.0,Pack,Lane,Lampe ,65681,2,36.541127,-93.500745,869 Pack Lane
1234.0,Persimmon Hill,Lane,Lampe ,65681,2,36.53261742,-93.51604519,1234 Persimmon Hill
1234.0,Persimmon Hill,Lane,Lampe ,65681,2,36.53261742,-93.51604519,1234 Persimmon Hill
1595.0,Persimmon Hill,Lane,Lampe ,65681,2,36.5349597,-93.52021254,1595 Persimmon Hill
224.0,Shiloh,Lane,Kimberling City,65686,2,36.62741507,-93.43987467,224 Shiloa Lane
49.0,Allison Bend,,Lampe ,65681,3,36.53329773,-93.50994712,49 Allison Bend
49.0,Allison Bend,,Lampe ,65681,3,36.53329773,-93.50994712,49 Allison Bend
190.0,Allison Bend,,Lampe ,65681,3,36.53307519,-93.50869373,190 Allison Bend
4229.0,MO 86,,Lampe ,65681,3,36.51632327,-93.4904823,4229 W Hwy 86
1220.0,Persimmon Hill,Lane,Lampe ,65681,3,36.53246983,-93.51603935,1220 Persimmon Hill
1220.0,Persimmon Hill,Lane,Lampe ,65681,3,36.53246983,-93.51603935,1220 Persimmon Hill
1240.0,Persimmon Hill,Lane,Lampe ,65681,3,36.53268067,-93.51604769,1240 Persimmon Hill
1595.0,Persimmon Hill,Lane,Lampe ,65681,3,36.5349597,-93.52021254,1595 Persimmon Hill
604.0,Quiet Acres,Road,,65681,3,36.54304988720126,-93.479785122663,604 Quiet Acres
15094.0,Business Highway 13,,Branson West,65737,4,36.67103157,-93.40786622,15094 Bus 13 #8
31.0,Crestview,Street,Kimberling City,65686,4,36.63662979,-93.42113194,31 Crestview
31.0,Crestview,Street,Kimberling City,65686,4,36.63662979,-93.42113194,31 Crestview
147.0,Eagle Ridge,Lane,Branson West,65737,4,36.61898394,-93.37211705,147 Eagle Ridge 
44.0,Indian Cove,Drive,Lampe ,65681,4,36.56601503,-93.47618582,44 Indian Cove 
44.0,Indian Cove,Drive,Lampe ,65681,4,36.56601503,-93.47618582,44 Indian Cove 
322.0,Lake Circle,Drive,Galena,65656,4,36.713059,-93.517829,322 Lake Circle Dr
1498.0,Lancelot,Lane,Reeds Spring,65737,4,36.631403,-93.386061,149 Lambstow Dr
90.0,Little Fox,Lane,Lampe ,65681,4,36.59202151,-93.43508556,90 Little Fox Lane
491.0,Trellis,Drive,Lampe ,65681,4,36.53674495,-93.48468925,491 Trellis Dr
1233.0,Broken Arrow,Road,Lampe ,65681,5,36.55963416,-93.46289603,1233 BrokenArrow Rd
8.0,Chevy,Lane,Lampe ,65681,5,36.56658454,-93.44325041,8 Chev Ln.
27.0,Jan,Lane,Lampe ,65681,5,36.57129575,-93.44712043,27 Kingsgate
94.0,Rejoice,Lane,Blue Eye,65611,5,36.5160607,-93.38136155,94 Rejoice Lane
931.0,Silverbluff,Circle,Reeds Spring,65737,5,36.68811233,-93.31366187,931 Silver Bluff Cr.
252.0,Spring,Road,Blue Eye,65611,5,36.57567006,-93.49892446,252 Spring Rd
9426.0,State Highway 86,,Blue Eye,65611,5,36.53641110108924,-93.38195141782103,9426 E Hwy 86
9426.0,State Highway 86,,Blue Eye,65611,5,36.5364111,-93.38195142,9426 E Hwy 86
367.0,Waterview,Lane,Lampe ,65681,5,36.60263127,-93.49706231,367 Waterview Ln
